TA,PtP Name,City (Reev),Address,ZipCode,Total Acquisition
MICHALOPOULOS DIMITRIS,YES STORES ΥΜΗΤΤΟΥ ΟΕ,Athina,116 Imittou,116 33,=VLOOKUP(B2;'file:///C:/Users/panou/Downloads/Πανουτσόπουλος.xlsx'#$Export.$A$1:$B$1048576;2;0)
MICHALOPOULOS DIMITRIS,ΤΣΙΛΙΚΙΩΤΟΥ ΚΩΝΣΤΑΝΤΙΑ,Athina,73 Fotomara,117 45,=VLOOKUP(B3;'file:///C:/Users/panou/Downloads/Πανουτσόπουλος.xlsx'#$Export.$A$1:$B$1048576;2;0)
MICHALOPOULOS DIMITRIS,ΠΕΡΙΠΤΕΡΟ ΒΕΙΚΟΥ Ο Ε,Galatsi,18 Leoforos Veikou,111 47,=VLOOKUP(B4;'file:///C:/Users/panou/Downloads/Πανουτσόπουλος.xlsx'#$Export.$A$1:$B$1048576;2;0)
MICHALOPOULOS DIMITRIS,18 BEE MARKET 24H IKE,Zografou,10 Dikis,157 73,=VLOOKUP(B5;'file:///C:/Users/panou/Downloads/Πανουτσόπουλος.xlsx'#$Export.$A$1:$B$1048576;2;0)
MICHALOPOULOS DIMITRIS,ΑΦΟΙ ΑΘΑΝΑΣΟΠΟΥΛΟΙ Ο.Ε,Galatsi,73 Papaflessa,111 46,=VLOOKUP(B6;'file:///C:/Users/panou/Downloads/Πανουτσόπουλος.xlsx'#$Export.$A$1:$B$1048576;2;0)
MICHALOPOULOS DIMITRIS,YES STORES ΠΑΛΜΕ 18 Ο.Ε.,Zografou,18 Oulof Palme,157 71,=VLOOKUP(B7;'file:///C:/Users/panou/Downloads/Πανουτσόπουλος.xlsx'#$Export.$A$1:$B$1048576;2;0)
MICHALOPOULOS DIMITRIS,GALATSI NOBACCO SHOP,Galatsi,40 Leoforos Veikou,111 47,=VLOOKUP(B8;'file:///C:/Users/panou/Downloads/Πανουτσόπουλος.xlsx'#$Export.$A$1:$B$1048576;2;0)
MICHALOPOULOS DIMITRIS,ΑΓΓΕΛΟΠΟΥΛΟΣ Δ.- ΧΩΡΙΑΝΟΠΟΥΛΟΥ ΑΝΝΑ ΟΕ,Athina,59 Papadiamantopoulou,115 27,=VLOOKUP(B9;'file:///C:/Users/panou/Downloads/Πανουτσόπουλος.xlsx'#$Export.$A$1:$B$1048576;2;0)
MICHALOPOULOS DIMITRIS,ZOGRAFOU NOBACCO SHOP,Zografou,41 Leoforos Stratarchou Alexandrou Papagou,157 73,=VLOOKUP(B10;'file:///C:/Users/panou/Downloads/Πανουτσόπουλος.xlsx'#$Export.$A$1:$B$1048576;2;0)
MICHALOPOULOS DIMITRIS,Μ.ΚΟΚΚΙΝΟΣ-Λ.ΚΟΚΚΙΝΟΥ Ο.Ε,Kesariani,74 Leoforos Ethnikis Antistaseos,161 21,=VLOOKUP(B11;'file:///C:/Users/panou/Downloads/Πανουτσόπουλος.xlsx'#$Export.$A$1:$B$1048576;2;0)
MICHALOPOULOS DIMITRIS,ΚΑΛΛΙΑΝΙΩΤΗ ΝΙΚ. ΒΑΣΙΛΙΚΗ,Athina,135 Leoforos Vouliagmenis,116 31,=VLOOKUP(B12;'file:///C:/Users/panou/Downloads/Πανουτσόπουλος.xlsx'#$Export.$A$1:$B$1048576;2;0)
MICHALOPOULOS DIMITRIS,DELIVERY HERO DMART GREECE (efood Local),Athina,76 Mikras Asias,115 27,=VLOOKUP(B13;'file:///C:/Users/panou/Downloads/Πανουτσόπουλος.xlsx'#$Export.$A$1:$B$1048576;2;0)
MICHALOPOULOS DIMITRIS,ΑΡΙΣΤΕΙΔΗΣ ΓΚΟΡΟΣ Ο.Ε (OSA ΒΥΡΩΝΑ 2),Vironas,68 Panagi Tsaldari,162 32,=VLOOKUP(B14;'file:///C:/Users/panou/Downloads/Πανουτσόπουλος.xlsx'#$Export.$A$1:$B$1048576;2;0)
MICHALOPOULOS DIMITRIS,YES STORES FEIDIPPIDOU IKE,Athina,31 Fidippidou,115 27,=VLOOKUP(B15;'file:///C:/Users/panou/Downloads/Πανουτσόπουλος.xlsx'#$Export.$A$1:$B$1048576;2;0)
MICHALOPOULOS DIMITRIS,ΓΚΟΥΒΑ Δ. ΕΥΑΓΓΕΛΙΑ,Zografou,25 Ethnikis Antistaseos,157 72,=VLOOKUP(B16;'file:///C:/Users/panou/Downloads/Πανουτσόπουλος.xlsx'#$Export.$A$1:$B$1048576;2;0)
MICHALOPOULOS DIMITRIS,VIRONAS NOBACCO SHOP,Vironas,11 Neas Elvetias,162 31,=VLOOKUP(B17;'file:///C:/Users/panou/Downloads/Πανουτσόπουλος.xlsx'#$Export.$A$1:$B$1048576;2;0)
MICHALOPOULOS DIMITRIS,ΤΣΑΓΚΑΛΙΔΗΣ ΑΝΑΣΤ. ΣΤΥΛΙΑΝΟΣ,Zografou,42 Georgiou Zografou,157 72,=VLOOKUP(B18;'file:///C:/Users/panou/Downloads/Πανουτσόπουλος.xlsx'#$Export.$A$1:$B$1048576;2;0)
MICHALOPOULOS DIMITRIS,Β ΤΣΑΚΑΛΗ ΕΕ,Athina,117 Imittou,116 33,=VLOOKUP(B19;'file:///C:/Users/panou/Downloads/Πανουτσόπουλος.xlsx'#$Export.$A$1:$B$1048576;2;0)
MICHALOPOULOS DIMITRIS,ΚΡΑΨΙΤΗΣ ΓΕΩΡΓΙΟΣ,Athina,22 Mavrommateon,104 34,=VLOOKUP(B20;'file:///C:/Users/panou/Downloads/Πανουτσόπουλος.xlsx'#$Export.$A$1:$B$1048576;2;0)
MICHALOPOULOS DIMITRIS,ΠΑΥΛΟΠΟΥΛΟΣ ΝΙΚ. ΚΩΝ/ΝΟΣ,Athina,2 Spirou Merkouri,116 34,=VLOOKUP(B21;'file:///C:/Users/panou/Downloads/Πανουτσόπουλος.xlsx'#$Export.$A$1:$B$1048576;2;0)
