,,
,,
,,
,,
,name,totalacquisition
,YES STORES Λ. ΑΛΕΞΑΝΔΡΑΣ 158 ΟΕ*,92
,YES STORES ΥΜΗΤΤΟΥ ΟΕ*,62
,ΤΣΙΛΙΚΙΩΤΟΥ ΚΩΝΣΤΑΝΤΙΑ*,46
,ΠΑΠΑΖΙΚΟΣ Ι. ΝΙΚΟΛΑΟΣ*,35
,ΛΟΥΚΑΤΖΙΚΟΥ ΑΛΕΞΑΝΔΡΑ*,26
,ΠΕΡΙΠΤΕΡΟ ΒΕΙΚΟΥ Ο Ε*,22
,18 BEE MARKET 24H IKE*,19
,ΑΦΟΙ ΑΘΑΝΑΣΟΠΟΥΛΟΙ Ο.Ε*,19
,YES STORES ΠΑΛΜΕ 18 Ο.Ε.*,18
,ΜΕΝΤΕΝΗΣ ΙΟΡΔΑΝΗΣ ΚΑΙ ΣΙΑ ΕΕ*,18
,ΠΕΡΙΠΤΕΡΟ ΔΡΑΚΟΥ ΕΕ*,18
,GALATSI NOBACCO SHOP,17
,ΑΓΓΕΛΟΠΟΥΛΟΣ Δ.- ΧΩΡΙΑΝΟΠΟΥΛΟΥ ΑΝΝΑ ΟΕ*,17
,Γ.ΑΝΑΣΤΑΣΟΠΟΥΛΟΣ-Σ.ΑΝΑΣΤΑΣΟΠΟΥΛΟΣ ΟΕ*,17
,ΚΑΦΕ ΠΑΝΟΡΜΟΥ ΙΚΕ*,16
,ZOGRAFOU NOBACCO SHOP,15
,YES STORES KATEXAKH ΟΕ*,15
,ABELOKIPOI NOBACCO SHOP,14
,ΓΕΩΡΓΑΤΖΗΣ ΠΑΝΤΕΛΗΣ*,14
,ΠΑΠΑΓΕΩΡΓΙΟΥ ΑΠΟΣΤΟΛΟΣ,14
,Μ.ΚΟΚΚΙΝΟΣ-Λ.ΚΟΚΚΙΝΟΥ Ο.Ε,13
,ΚΑΛΛΙΑΝΙΩΤΗ ΝΙΚ. ΒΑΣΙΛΙΚΗ*,12
,ΠΑΠΑΓΕΩΡΓΙΟΥ ΧΡΗΣΤΟΣ*,11
,DELIVERY HERO DMART GREECE (efood Local)*,10
,ΑΡΙΣΤΕΙΔΗΣ ΓΚΟΡΟΣ Ο.Ε (OSA ΒΥΡΩΝΑ 2)*,10
,YES STORES FEIDIPPIDOU IKE*,9
,ΓΚΟΥΒΑ Δ. ΕΥΑΓΓΕΛΙΑ,9
,VIRONAS NOBACCO SHOP,8
,ΠΑΠΑΔΟΓΙΑΝΝΗΣ ΓΕΩΡΓΙΟΣ,8
,ΤΣΑΓΚΑΛΙΔΗΣ ΑΝΑΣΤ. ΣΤΥΛΙΑΝΟΣ,7
,Β ΤΣΑΚΑΛΗ ΕΕ,6
,ΚΡΑΨΙΤΗΣ ΓΕΩΡΓΙΟΣ,6
,ΠΑΥΛΟΠΟΥΛΟΣ ΝΙΚ. ΚΩΝ/ΝΟΣ*,6
,KOLONAKI NOBACCO SHOP,6
,OMONOIA NOBACCO SHOP,6
